iter	Logloss
337	0.2274767432
338	0.2271923518
339	0.2269121649
340	0.2264697441
341	0.2261433578
342	0.2259299076
343	0.2257075132
344	0.2253464493
345	0.2250450506
346	0.2247984337
347	0.2246100912
348	0.2244861101
349	0.2242696841
350	0.2241070248
351	0.2238459407
352	0.2237059357
353	0.2235766894
354	0.2233863786
355	0.2232675972
356	0.2231673815
357	0.2230563614
358	0.2228527704
359	0.2226337366
360	0.2224731204
361	0.2223075081
362	0.2222196186
363	0.2219998919
364	0.2217159242
365	0.2213657634
366	0.2212123083
367	0.2210548395
368	0.220902339
369	0.2207365137
370	0.2205793863
371	0.2203371246
372	0.2202129138
373	0.2199192356
374	0.2196887314
375	0.2194668259
376	0.2193282923
377	0.2191294066
378	0.218986395
379	0.21880488
380	0.2186782568
381	0.2185740262
382	0.2183754308
383	0.2181729037
384	0.2179270763
385	0.2178148553
386	0.2176534702
387	0.2175132634
388	0.2173816258
389	0.2170855164
390	0.2169584345
391	0.21684527
392	0.216617084
393	0.2163340465
394	0.2162302343
395	0.2161058585
396	0.2159364318
397	0.215786976
398	0.2156583664
399	0.2155354949
400	0.2153721422
401	0.2151912219
402	0.215015667
403	0.2148019197
404	0.2146535171
405	0.2144348587
406	0.2142302074
407	0.2140707522
408	0.2139396371
409	0.2137485035
410	0.2136254713
411	0.2133781898
412	0.2132039195
413	0.2130401547
414	0.2129244165
415	0.2127610263
416	0.2126488201
417	0.2125256275
418	0.2123944793
419	0.2123030183
420	0.2121020388
421	0.2118276364
422	0.2116918655
423	0.2115643872
424	0.2110786949
425	0.2108596857
426	0.2106618967
427	0.2103952957
428	0.2102263077
429	0.2100203241
430	0.2099066821
431	0.2097817495
432	0.2096434283
433	0.2095746422
434	0.209492475
435	0.2093686441
436	0.2092849881
437	0.2091460585
438	0.2089786205
439	0.2087765147
440	0.2086427286
441	0.2084317476
442	0.2082363966
443	0.2081230612
444	0.2079796543
445	0.207851763
446	0.2077302262
447	0.2075987853
448	0.2074569716
449	0.2073241842
450	0.207229213
451	0.2071098702
452	0.2069956086
453	0.2068967793
454	0.2067631958
455	0.2066408408
456	0.2065388155
457	0.2064564512
458	0.2063298865
459	0.2061274523
460	0.2060113649
461	0.2058992307
462	0.2056146504
463	0.2053659916
464	0.2052541435
465	0.2051507486
466	0.2050691852
467	0.2049713779
468	0.204866362
469	0.2047150294
470	0.2044790726
471	0.2043541013
472	0.2042293421
473	0.2041202761
474	0.2039304057
475	0.2038348918
476	0.2036494404
477	0.2034439199
478	0.203172647
479	0.2030558609
480	0.202934416
481	0.2028203769
482	0.2026839633
483	0.2024706548
484	0.2023404122
485	0.202178768
486	0.2020652851
487	0.2018843995
488	0.2017770615
489	0.2015855802
490	0.2014078466
491	0.2012724939
492	0.2011641442
493	0.2009894718
494	0.2008836815
495	0.2004914986
496	0.200394298
497	0.2002555543
498	0.2001566518
499	0.2000742188
500	0.2000050713
501	0.1998692621
502	0.1997420306
503	0.1995850397
504	0.1994787089
505	0.199246541
506	0.1991635114
507	0.199058224
508	0.1989520881
509	0.1988313155
510	0.1987106939
511	0.1985501034
512	0.1983683164
513	0.1982197804
514	0.1980635115
515	0.1978712847
516	0.1977864583
517	0.1976500246
518	0.1975395079
519	0.1974228663
520	0.1973252211
521	0.1972265575
522	0.1971340025
523	0.1970271986
524	0.1968883143
525	0.1967295559
526	0.1965963024
527	0.1964742594
528	0.1963385323
529	0.1961903997
530	0.1960650412
531	0.1959544544
532	0.1958705829
533	0.1957326019
534	0.195594102
535	0.1955049846
536	0.1953675138
537	0.1952431643
538	0.1951417194
539	0.1948560652
540	0.1947400501
541	0.1946414155
542	0.1945270511
543	0.1943962032
544	0.1942914233
545	0.1941613425
546	0.1939830559
547	0.1938223353
548	0.1936708578
549	0.1935166697
550	0.1934324832
551	0.1932854818
552	0.1932247728
553	0.193120838
554	0.1930019188
555	0.192879406
556	0.192751043
557	0.1926958253
558	0.1926184252
559	0.1925351275
560	0.1923512355
561	0.1922085001
562	0.1920470629
563	0.1919077118
564	0.1917533207
565	0.191570193
566	0.1914153929
567	0.1913114509
568	0.1912164615
569	0.1911380271
570	0.1909658003
571	0.1908777448
572	0.1907240424
573	0.1904544233
574	0.1903256645
575	0.1901519679
576	0.1900727944
577	0.1899380628
578	0.1898343588
579	0.189748421
580	0.1896634355
581	0.1895807617
582	0.1894611192
583	0.1893445654
584	0.1892651863
585	0.1891395967
586	0.1890702795
587	0.1889508357
588	0.1888204415
589	0.1886721846
590	0.1886233005
591	0.1884556969
592	0.1883360638
593	0.1881922155
594	0.1881057156
595	0.1879705966
596	0.187639276
597	0.1875401558
598	0.187426262
599	0.1873340358
600	0.1872492005
601	0.1871513246
602	0.187033888
603	0.1869382042
604	0.1868009509
605	0.1866912314
606	0.1865956988
607	0.1864632166
608	0.1863126042
609	0.1861796062
610	0.186067845
611	0.1859829299
612	0.1858721579
613	0.1857808551
614	0.1856778176
615	0.1854914481
616	0.1853646598
617	0.1852651457
618	0.1851450147
619	0.1850588134
620	0.184965921
621	0.1847862634
622	0.1847072583
623	0.1845578126
624	0.1844243179
625	0.1843343573
626	0.1842583163
627	0.1841609117
628	0.1840074045
629	0.1838621693
630	0.1837759372
631	0.1837213378
632	0.1836279293
633	0.1835266841
634	0.1834323314
635	0.1833620895
636	0.1832581911
637	0.183185063
638	0.1830837218
639	0.1828948905
640	0.182808344
641	0.1827011952
642	0.1826102814
643	0.1825518947
644	0.1824425368
645	0.1823586087
646	0.1822604422
647	0.1821597352
648	0.1820439718
649	0.1819568411
650	0.1818391042
651	0.1817659681
652	0.1816917658
653	0.1815713601
654	0.1814252978
655	0.1813558243
656	0.1812839553
657	0.1811570653
658	0.1810789527
659	0.181008629
660	0.1809201131
661	0.1807912877
662	0.1806861077
663	0.180610851
664	0.1804989976
665	0.1802482443
666	0.180161103
667	0.1800340641
668	0.1799092984
669	0.1798455851
670	0.1797236332
671	0.1796039674
672	0.1794556764
673	0.1793462816
674	0.1792593969
675	0.1790814522
676	0.1790078442
677	0.1789234241
678	0.178845245
679	0.1787815104
680	0.1787091947
681	0.1786025976
682	0.1785162074
683	0.1783558393
684	0.1782375142
685	0.1781442458
686	0.1780525465
687	0.1779831074
688	0.1778661204
689	0.1777589071
690	0.1776549724
691	0.1775849763
692	0.1774272197
693	0.1773508469
694	0.1772849656
695	0.1771879891
696	0.1771163304
697	0.1770501315
698	0.1769863445
699	0.176857423
700	0.1767567609
701	0.1766502045
702	0.1765695715
703	0.1764459589
704	0.1763386547
705	0.1762589824
706	0.1761296811
707	0.1760519185
708	0.1759792672
709	0.1757791073
710	0.1757165956
711	0.1755511277
712	0.175472714
713	0.1753210807
714	0.1752427341
715	0.1751407678
716	0.175069155
717	0.1749973059
718	0.1749070688
719	0.1748325351
720	0.174707386
721	0.1745930709
722	0.1745157578
723	0.1744639571
724	0.1743285263
725	0.1742222926
726	0.1741666891
727	0.174072366
728	0.1739634227
729	0.1738594644
730	0.1737594442
731	0.1736969801
732	0.1736152075
733	0.173508261
734	0.1734464171
735	0.1733401671
736	0.1732344111
737	0.1731108197
738	0.1730054513
739	0.1729410413
740	0.1728740349
741	0.1727890247
742	0.1727226684
743	0.1726339357
744	0.1725769071
745	0.1725032512
746	0.1724151996
747	0.1723114188
748	0.1722593942
749	0.1721858726
750	0.172118092
751	0.1720508042
752	0.1719606013
753	0.1718961926
754	0.171775956
755	0.1716934864
756	0.1716220863
757	0.1715508853
758	0.1714226252
759	0.1712975222
760	0.1712222551
761	0.1711458524
762	0.1710342856
763	0.1709705349
764	0.1708620328
765	0.1707401225
766	0.170677515
767	0.1706170477
768	0.1705331346
769	0.1704043848
770	0.1703092712
771	0.1702202697
772	0.1701608468
773	0.1700730348
774	0.1700024745
775	0.1699322468
776	0.1698514609
777	0.169751663
778	0.1696726601
779	0.1695348218
780	0.1694244379
781	0.1693463642
782	0.1692778016
783	0.1692368832
784	0.1691778011
785	0.1691118092
786	0.1690233671
787	0.1689477189
788	0.1688451869
789	0.1687836073
790	0.168717767
791	0.1686137247
792	0.1685368521
793	0.168444538
794	0.1683620122
795	0.1682738596
796	0.168177202
797	0.1680747193
798	0.1679980459
799	0.1679073341
800	0.1678303288
801	0.1677402018
802	0.1676730023
803	0.1676082407
804	0.1675240255
805	0.1674481804
806	0.1673615342
807	0.1673125798
808	0.1671778216
809	0.1671058467
810	0.1669886095
811	0.166889619
812	0.166817725
813	0.1667576034
814	0.1666670018
815	0.1666017086
816	0.1665484061
817	0.1664796862
818	0.1662683519
819	0.1662318151
820	0.1661048146
821	0.1660102202
822	0.1659320153
823	0.1658607145
824	0.1657684709
825	0.1657283682
826	0.1656603765
827	0.1655862553
828	0.1655191183
829	0.1654545538
830	0.1653556764
831	0.1652986687
832	0.1652052144
833	0.1651369084
834	0.1650572223
835	0.1649584937
836	0.1648967352
837	0.1648039366
838	0.1646759942
839	0.1645891295
840	0.1645100873
841	0.1644302756
842	0.1643590774
843	0.1642695486
844	0.1641496983
845	0.1640563169
846	0.1639968456
847	0.163927219
848	0.1638093163
849	0.163702745
850	0.1636193947
851	0.1635299922
852	0.1634700991
853	0.1633190748
854	0.1632348363
855	0.1631798244
856	0.1631235059
857	0.1630509302
858	0.1629975772
859	0.1629319314
860	0.1627867872
861	0.1627214419
862	0.1626579869
863	0.162574153
864	0.1623627307
865	0.1622818181
866	0.162202718
867	0.1620741332
868	0.1619676398
869	0.1618527143
870	0.1617786038
871	0.1616988213
872	0.1616262224
873	0.1614856595
874	0.1614080784
875	0.1613164677
876	0.1612199445
877	0.1611372847
878	0.1610426511
879	0.1609823653
880	0.1608858729
881	0.160841356
882	0.1607428892
883	0.1606858222
884	0.160581872
885	0.1605050744
886	0.1604293204
887	0.1603425376
888	0.1602608262
889	0.1601995193
890	0.1601302206
891	0.1600715406
892	0.160011064
893	0.1599327846
894	0.1598587171
895	0.1598076899
896	0.1596623422
897	0.1596196878
898	0.1595700037
899	0.159525113
900	0.1594607781
901	0.1593325171
902	0.1592556851
903	0.1591511767
904	0.1590979412
905	0.1589973104
906	0.158906928
907	0.1588240944
908	0.1587481468
909	0.1586708255
910	0.1586080108
911	0.1585426483
912	0.1584315756
913	0.1583646782
914	0.1582658113
915	0.1581999601
916	0.15801468
917	0.1579268982
918	0.1578530839
919	0.1577918841
920	0.157702511
921	0.1576240622
922	0.1575116479
923	0.1573914924
924	0.1572909423
925	0.1571578808
926	0.1571088877
927	0.15705456
928	0.156991898
929	0.1569212157
930	0.1568162797
931	0.1567280862
932	0.1566899592
933	0.1566230132
934	0.1565756254
935	0.1565140177
936	0.1564359209
937	0.1563759029
938	0.1563127085
939	0.1562283552
940	0.1561488225
941	0.1560873314
942	0.1559994188
943	0.1559412672
944	0.1558739607
945	0.1558152247
946	0.1557319879
947	0.155639254
948	0.1555878666
949	0.1555426028
950	0.1554709209
951	0.1554077283
952	0.1553545196
953	0.155292126
954	0.1551851364
955	0.1551082518
956	0.154998728
957	0.1549147971
958	0.1548571682
959	0.1547996506
960	0.1547468949
961	0.1546895588
962	0.1545744674
963	0.1545156487
964	0.1544520591
965	0.1543808858
966	0.1543119195
967	0.1542219319
968	0.1541728699
969	0.1540937547
970	0.1539883113
971	0.1539425402
972	0.1538627937
973	0.1537736984
974	0.1537419719
975	0.1536936185
976	0.153619489
977	0.1535877553
978	0.1535149863
979	0.1534590852
980	0.1533875958
981	0.153335986
982	0.1532746842
983	0.1531942725
984	0.153102766
985	0.1529947631
986	0.1529264533
987	0.1528605722
988	0.1527954984
989	0.1527446419
990	0.1526537127
991	0.1525725953
992	0.1525031707
993	0.1524523243
994	0.152380884
995	0.1522593471
996	0.1520892264
997	0.152008457
998	0.1519258883
999	0.1518159054
